MDF_RNTRC,MDF_DATA_EMISSAO,MDF_DATA_AUTORIZACAO
52192655,2020-01-28 15:51:12.000,2020-01-28 15:51:23.000
52192655,2020-01-28 16:32:23.000,2020-01-28 16:32:43.000
52192655,2020-01-28 17:04:02.000,2020-01-28 17:04:15.000
52192655,2020-01-29 08:45:19.000,2020-01-29 08:45:41.000
52192655,2020-01-29 09:39:02.000,2020-01-29 09:39:22.000
52192655,2020-01-29 10:17:23.000,2020-01-29 10:17:42.000
52192655,2020-01-30 14:15:16.000,2020-01-30 14:15:25.000
52192655,2020-01-30 14:26:32.000,2020-01-30 14:26:34.000
896932,2020-01-31 08:29:22.000,2020-01-31 08:29:45.000
896932,2020-01-31 11:26:19.000,2020-01-31 11:26:30.000
896932,2020-01-31 12:00:46.000,2020-01-31 12:01:22.000
9279324,2020-02-18 10:27:31.000,2020-02-18 10:27:39.000
52192655,2020-02-27 15:40:56.000,2020-02-27 15:41:15.000
9279324,2020-03-11 09:08:59.000,2020-03-11 09:09:08.000
3746427,2020-03-12 10:39:18.000,2020-03-12 10:39:35.000
50862977,2020-03-19 14:09:52.723,2020-03-19 14:10:14.000
46003043,2020-03-24 19:02:37.157,2020-03-24 19:02:50.000
50862977,2020-03-27 17:59:39.567,2020-03-27 17:59:48.000
50862977,2020-04-01 09:50:49.493,2020-04-01 09:50:56.000
50862977,2020-04-01 11:42:10.967,2020-04-01 11:42:31.000
50862977,2020-04-01 11:53:58.430,2020-04-01 11:54:01.000
50862977,2020-04-02 09:42:31.467,2020-04-02 09:42:34.000
50862977,2020-04-03 09:09:45.903,2020-04-03 09:10:03.000
50862977,2020-04-03 09:54:31.280,2020-04-03 09:54:44.000
50862977,2020-04-06 09:19:40.923,2020-04-06 09:20:03.000
50862977,2020-04-06 10:10:08.093,2020-04-06 10:10:25.000
50862977,2020-04-06 15:20:27.877,2020-04-06 15:22:09.000
50862977,2020-04-08 11:38:17.337,2020-04-08 11:38:28.000
50862977,2020-04-09 11:55:42.127,2020-04-09 11:55:52.000
50862977,2020-04-09 14:38:39.757,2020-04-09 14:38:57.000
50862977,2020-04-09 17:11:44.523,2020-04-09 17:12:04.000
50862977,2020-04-09 17:20:45.300,2020-04-09 17:20:52.000
50862977,2020-04-09 17:28:31.720,2020-04-09 17:28:42.000
50862977,2020-04-13 17:39:40.523,2020-04-13 17:39:43.000
46003043,2020-04-15 09:41:43.883,2020-04-15 09:41:53.000
46003043,2020-04-15 10:10:51.063,2020-04-15 10:11:07.000
12456720,2020-04-15 11:53:41.633,2020-04-15 11:53:58.000
12456720,2020-04-16 08:16:51.627,2020-04-16 08:17:05.000
12456720,2020-04-16 10:13:57.443,2020-04-16 10:14:11.000
154642,2020-04-17 17:07:44.510,2020-04-17 17:08:20.000
154642,2020-04-21 19:24:01.143,2020-04-21 19:24:09.000
154642,2020-04-21 19:34:53.400,2020-04-21 19:34:57.000
52192655,2020-04-25 15:23:59.937,2020-04-25 15:24:52.000
46003043,2020-04-27 18:56:21.717,2020-04-27 18:56:38.000
45778726,2020-04-29 14:02:41.407,2020-04-29 14:02:43.000
42333,2020-04-29 14:32:17.877,2020-04-29 14:32:33.000
42333,2020-04-29 15:51:40.420,2020-04-29 15:51:47.000
46003043,2020-04-29 22:07:52.747,2020-04-29 22:08:08.000
46003043,2020-04-29 22:34:13.693,2020-04-29 22:34:27.000
42333,2020-04-30 15:27:47.067,2020-04-30 15:27:53.000
11856406,2020-04-30 17:42:20.517,2020-04-30 17:42:41.000
